date,portfolio_value
2022-01-03,99855.12180000001
2022-01-04,99102.09180000001
2022-01-05,95845.70978
2022-01-06,95070.26978
2022-01-07,94446.30977999998
2022-01-10,94591.22411999998
2022-01-11,94824.44411999999
2022-01-12,94991.49467999999
2022-01-13,94509.33619999999
2022-01-14,93728.69119999999
2022-01-18,92134.8369
2022-01-19,91154.15383999998
2022-01-20,90087.35383999998
2022-01-21,89273.31313999998
2022-01-24,89733.13313999999
2022-01-25,89344.24255999998
2022-01-26,90151.90511999998
2022-01-27,88461.71667999998
2022-01-28,90655.90318999998
2022-01-31,92950.71518999997
2022-02-01,92950.71518999997
2022-02-02,92950.71518999997
2022-02-03,92950.71518999997
2022-02-04,92950.71518999997
2022-02-07,92950.71518999997
2022-02-08,92950.71518999997
2022-02-09,92950.71518999997
2022-02-10,92858.09180999997
2022-02-11,92411.53216999996
2022-02-14,92140.29716999998
2022-02-15,92400.39374999996
2022-02-16,92533.20938999997
2022-02-17,92486.96514999997
2022-02-18,92431.74514999997
2022-02-22,92148.90096999999
2022-02-23,92324.14016999997
2022-02-24,91706.86856999998
2022-02-25,93243.83298999997
2022-02-28,93243.83298999997
2022-03-01,93243.83298999997
2022-03-02,93243.83298999997
2022-03-03,93243.83298999997
2022-03-04,93243.83298999997
2022-03-07,93197.26482999997
2022-03-08,92877.52482999997
2022-03-09,93608.13256999996
2022-03-10,92995.04756999997
2022-03-11,92735.21256999996
2022-03-14,93017.02756999996
2022-03-15,93660.63908999995
2022-03-16,93607.17908999995
2022-03-17,94979.35550999995
2022-03-18,94979.35550999995
2022-03-21,94979.35550999995
2022-03-22,94979.35550999995
2022-03-23,94979.35550999995
2022-03-24,94979.35550999995
2022-03-25,94979.35550999995
2022-03-28,94979.35550999995
2022-03-29,94979.35550999995
2022-03-30,94979.35550999995
2022-03-31,94979.35550999995
2022-04-01,94931.88482999994
2022-04-04,94832.70482999994
2022-04-05,94561.26482999994
2022-04-06,94628.62994999994
2022-04-07,94828.00994999995
2022-04-08,94259.94004999995
2022-04-11,93963.16246999995
2022-04-12,94661.23246999994
2022-04-13,96051.10723999995
2022-04-14,96051.10723999995
2022-04-18,95955.35431999995
2022-04-19,97014.91114999994
2022-04-20,97014.91114999994
2022-04-21,96966.53932999994
2022-04-22,96360.05892999994
2022-04-25,94515.69892999994
2022-04-26,94104.69010999994
2022-04-27,94114.59978999993
2022-04-28,95059.83570999993
2022-04-29,94582.41090999993
2022-05-02,94441.37972999993
2022-05-03,94548.21972999992
2022-05-04,95874.10472999993
2022-05-05,95874.10472999993
2022-05-06,95874.10472999993
2022-05-09,95874.10472999993
2022-05-10,95874.10472999993
2022-05-11,95778.40280999994
2022-05-12,95629.38864999995
2022-05-13,96416.19452999995
2022-05-16,96416.19452999995
2022-05-17,96416.19452999995
2022-05-18,96416.19452999995
2022-05-19,96416.19452999995
2022-05-20,96416.19452999995
2022-05-23,96416.19452999995
2022-05-24,96416.19452999995
2022-05-25,96416.19452999995
2022-05-26,96416.19452999995
2022-05-27,96416.19452999995
2022-05-31,96416.19452999995
2022-06-01,96416.19452999995
2022-06-02,96416.19452999995
2022-06-03,96320.65596999995
2022-06-06,96527.01480999995
2022-06-07,96731.48264999996
2022-06-08,96731.48264999996
2022-06-09,96683.17256999997
2022-06-10,96443.68644999995
2022-06-13,94973.12928999997
2022-06-14,94258.41428999997
2022-06-15,94077.00928999996
2022-06-16,92228.71370999997
