recorded_at,symbol,side,quantity,estimated_unit_price,estimated_order_value,status
2022-01-03T00:00:00+00:00,NFLX,buy,41.0,598.3944,24534.1704,filled
2022-01-03T00:00:00+00:00,GOOGL,buy,8.0,2903.96634,23231.73072,filled
2022-01-03T00:00:00+00:00,MSFT,buy,74.0,335.37942,24818.07708,filled
2022-01-05T00:00:00+00:00,NFLX,sell,41.0,565.8061200000001,23198.05092,filled
2022-01-05T00:00:00+00:00,GOOGL,sell,8.0,2749.49,21995.92,filled
2022-01-05T00:00:00+00:00,MSFT,sell,74.0,315.87698,23374.896520000002,filled
2022-01-05T00:00:00+00:00,GOOGL,buy,8.0,2760.51,22084.08,filled
2022-01-05T00:00:00+00:00,NFLX,buy,42.0,568.07388,23859.10296,filled
2022-01-05T00:00:00+00:00,MSFT,buy,75.0,317.14302,23785.726499999997,filled
2022-01-10T00:00:00+00:00,GOOGL,sell,8.0,2768.61168,22148.89344,filled
2022-01-10T00:00:00+00:00,COST,buy,45.0,520.02798,23401.2591,filled
2022-01-12T00:00:00+00:00,NFLX,sell,42.0,535.83618,22505.11956,filled
2022-01-12T00:00:00+00:00,MSFT,sell,75.0,317.62348,23821.761,filled
2022-01-13T00:00:00+00:00,AVGO,buy,39.0,597.95352,23320.187280000002,filled
2022-01-13T00:00:00+00:00,JNJ,buy,140.0,169.12758,23677.8612,filled
2022-01-18T00:00:00+00:00,COST,sell,45.0,486.99406000000005,21914.7327,filled
2022-01-18T00:00:00+00:00,XLRE,buy,480.0,48.0459,23062.032000000003,filled
2022-01-19T00:00:00+00:00,AVGO,sell,39.0,562.94186,21954.73254,filled
2022-01-19T00:00:00+00:00,AVGO,buy,40.0,565.1981400000001,22607.925600000002,filled
2022-01-21T00:00:00+00:00,JNJ,sell,140.0,164.56022,23038.4308,filled
2022-01-21T00:00:00+00:00,AVGO,sell,40.0,531.9839,21279.356,filled
2022-01-21T00:00:00+00:00,AVGO,buy,41.0,534.1161,21898.7601,filled
2022-01-21T00:00:00+00:00,XLF,buy,585.0,38.29644,22403.4174,filled
2022-01-25T00:00:00+00:00,XLRE,sell,480.0,46.76628,22447.8144,filled
2022-01-25T00:00:00+00:00,AAPL,buy,139.0,160.22982,22271.94498,filled
2022-01-26T00:00:00+00:00,AVGO,sell,41.0,556.92392,22833.880719999997,filled
2022-01-26T00:00:00+00:00,XLF,sell,585.0,38.49286,22518.3231,filled
2022-01-26T00:00:00+00:00,AMD,buy,203.0,111.10176,22553.65728,filled
2022-01-26T00:00:00+00:00,XLP,buy,303.0,74.47866,22567.03398,filled
2022-01-27T00:00:00+00:00,AMD,sell,203.0,102.36486,20780.06658,filled
2022-01-27T00:00:00+00:00,TSLA,buy,26.0,830.79327,21600.62502,filled
2022-01-28T00:00:00+00:00,AAPL,sell,139.0,169.98434999999998,23627.82465,filled
