date,portfolio_value
2022-01-03,99900.15025
2022-01-04,99841.63025000002
2022-01-05,97966.90025
2022-01-06,97851.95025000001
2022-01-07,97442.31025000001
2022-01-10,97354.53025000001
2022-01-11,98228.15025
2022-01-12,98510.30025000001
2022-01-13,97191.51025
2022-01-14,97147.62025
2022-01-18,95458.90025
2022-01-19,94482.87025
2022-01-20,93385.62025
2022-01-21,91485.1519
2022-01-24,91494.5569
2022-01-25,91485.1519
2022-01-26,91452.75690000001
2022-01-27,91438.1269
2022-01-28,91445.4419
2022-01-31,91335.33095
2022-02-01,91955.49595000001
2022-02-02,92832.45595
2022-02-03,90652.23595
2022-02-04,91119.13595000001
2022-02-07,90812.60595000001
2022-02-08,91533.25595000002
2022-02-09,92877.11595000002
2022-02-10,91247.02595000001
2022-02-11,89321.60140000001
2022-02-14,89289.1214
2022-02-15,89277.08451500001
2022-02-16,89188.19519500002
2022-02-17,87154.13062500003
2022-02-18,87160.10062500004
2022-02-22,87143.18562500003
2022-02-23,87133.23562500003
2022-02-24,87145.17562500003
2022-02-25,87145.17562500003
2022-02-28,87177.01562500003
2022-03-01,87209.85062500004
2022-03-02,87151.14562500003
2022-03-03,87154.13062500003
2022-03-04,87170.05062500003
2022-03-07,87153.13562500002
2022-03-08,87130.25062500003
2022-03-09,87117.31562500003
2022-03-10,87105.37562500003
2022-03-11,87096.42062500003
2022-03-14,87057.61562500003
2022-03-15,87059.60562500003
2022-03-16,87044.68062500004
2022-03-17,87037.71562500003
2022-03-18,87034.73062500003
2022-03-21,86979.01062500002
2022-03-22,86861.68939500004
2022-03-23,85638.57312500004
2022-03-24,85617.62008000005
2022-03-25,85617.62008000005
2022-03-28,85532.37613000006
2022-03-29,86605.75613000007
2022-03-30,86052.23613000006
2022-03-31,84775.02613000007
2022-04-01,84986.33613000007
2022-04-04,85693.19613000005
2022-04-05,84668.43613000007
2022-04-06,83711.04662000007
2022-04-07,83624.19157500008
2022-04-08,83324.60230500008
2022-04-11,83327.39230500009
2022-04-12,83366.45230500009
2022-04-13,83372.96230500008
2022-04-14,83347.85230500008
2022-04-18,83346.92230500009
2022-04-19,83308.79230500008
2022-04-20,83319.02230500008
2022-04-21,83294.84230500009
2022-04-22,83292.05230500008
2022-04-25,83313.44230500008
2022-04-26,83345.06230500009
2022-04-27,83334.83230500009
2022-04-28,83322.74230500008
